threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp,cost,flagged_count,flagged_rate,model_name,model_mode
0.6900000000000002,0.9737281067556297,0.9197994987468672,0.9221105527638191,0.9209535759096612,0.9216474133601206,0.983929648241206,0.9547583367421166,1968,32,31,367,280.0,399,0.1663886572143453,xgb_weighted,operational
0.7000000000000002,0.9737281067556297,0.9197994987468672,0.9221105527638191,0.9209535759096612,0.9216474133601206,0.983929648241206,0.9547583367421166,1968,32,31,367,280.0,399,0.1663886572143453,xgb_weighted,operational
0.7100000000000002,0.9737281067556297,0.9197994987468672,0.9221105527638191,0.9209535759096612,0.9216474133601206,0.983929648241206,0.9547583367421166,1968,32,31,367,280.0,399,0.1663886572143453,xgb_weighted,operational
0.7200000000000002,0.9741451209341118,0.9221105527638191,0.9221105527638191,0.9221105527638191,0.9221105527638191,0.983929648241206,0.9547583367421166,1969,31,31,367,279.0,398,0.16597164303586323,xgb_weighted,operational
0.7300000000000002,0.9733110925771477,0.9238578680203046,0.914572864321608,0.9191919191919192,0.9164149043303121,0.983929648241206,0.9547583367421166,1970,30,34,364,302.0,394,0.16430358632193495,xgb_weighted,operational
0.7400000000000002,0.9728940783986656,0.9236641221374046,0.9120603015075377,0.9178255372945638,0.9143576826196473,0.983929648241206,0.9547583367421166,1970,30,35,363,310.0,393,0.16388657214345287,xgb_weighted,operational
0.7500000000000002,0.9741451209341118,0.9307692307692308,0.9120603015075377,0.9213197969543148,0.9157416750756812,0.983929648241206,0.9547583367421166,1973,27,35,363,307.0,390,0.16263552960800667,xgb_weighted,operational
0.7600000000000002,0.9741451209341118,0.9307692307692308,0.9120603015075377,0.9213197969543148,0.9157416750756812,0.983929648241206,0.9547583367421166,1973,27,35,363,307.0,390,0.16263552960800667,xgb_weighted,operational
0.7700000000000002,0.9737281067556297,0.9305912596401028,0.9095477386934674,0.9199491740787802,0.9136799596163554,0.983929648241206,0.9547583367421166,1973,27,36,362,315.0,389,0.1622185154295246,xgb_weighted,operational
0.7800000000000001,0.9737281067556297,0.9305912596401028,0.9095477386934674,0.9199491740787802,0.9136799596163554,0.983929648241206,0.9547583367421166,1973,27,36,362,315.0,389,0.1622185154295246,xgb_weighted,operational
0.7900000000000001,0.9741451209341118,0.9329896907216495,0.9095477386934674,0.9211195928753181,0.9141414141414141,0.983929648241206,0.9547583367421166,1974,26,36,362,314.0,388,0.16180150125104253,xgb_weighted,operational
0.8000000000000002,0.9737281067556297,0.935064935064935,0.9045226130653267,0.9195402298850575,0.9104704097116844,0.983929648241206,0.9547583367421166,1975,25,38,360,329.0,385,0.16055045871559634,xgb_weighted,operational
0.8100000000000002,0.9745621351125938,0.9399477806788512,0.9045226130653267,0.9218950064020487,0.9113924050632911,0.983929648241206,0.9547583367421166,1977,23,38,360,327.0,383,0.1597164303586322,xgb_weighted,operational
0.8200000000000002,0.9762301918265222,0.9498680738786279,0.9045226130653267,0.9266409266409267,0.91324200913242,0.983929648241206,0.9547583367421166,1981,19,38,360,323.0,379,0.15804837364470392,xgb_weighted,operational
0.8300000000000002,0.97581317764804,0.9497354497354498,0.9020100502512562,0.9252577319587629,0.9111675126903553,0.983929648241206,0.9547583367421166,1981,19,39,359,331.0,378,0.15763135946622187,xgb_weighted,operational
0.8400000000000002,0.9762301918265222,0.9546666666666667,0.8994974874371859,0.926261319534282,0.9100152516522624,0.983929648241206,0.9547583367421166,1983,17,40,358,337.0,375,0.15638031693077564,xgb_weighted,operational
0.8500000000000002,0.97581317764804,0.956989247311828,0.8944723618090452,0.9246753246753247,0.9063136456211812,0.983929648241206,0.9547583367421166,1984,16,42,356,352.0,372,0.15512927439532945,xgb_weighted,operational
0.8600000000000002,0.97581317764804,0.9594594594594594,0.8919597989949749,0.9244791666666666,0.9046890927624872,0.983929648241206,0.9547583367421166,1985,15,43,355,359.0,370,0.1542952460383653,xgb_weighted,operational
0.8700000000000002,0.9762301918265222,0.962059620596206,0.8919597989949749,0.9256844850065189,0.9051504334523203,0.983929648241206,0.9547583367421166,1986,14,43,355,358.0,369,0.15387823185988322,xgb_weighted,operational
0.8800000000000002,0.97581317764804,0.9619565217391305,0.8894472361809045,0.9242819843342036,0.9030612244897959,0.983929648241206,0.9547583367421166,1986,14,44,354,366.0,368,0.15346121768140117,xgb_weighted,operational
0.8900000000000002,0.9749791492910759,0.9642857142857143,0.8819095477386935,0.9212598425196851,0.897239263803681,0.983929648241206,0.9547583367421166,1987,13,47,351,389.0,364,0.1517931609674729,xgb_weighted,operational
0.9000000000000002,0.9737281067556297,0.96398891966759,0.8743718592964824,0.9169960474308301,0.890937019969278,0.983929648241206,0.9547583367421166,1987,13,50,348,413.0,361,0.1505421184320267,xgb_weighted,operational
0.9100000000000003,0.9733110925771477,0.9664804469273743,0.8693467336683417,0.9153439153439153,0.8871794871794871,0.983929648241206,0.9547583367421166,1988,12,52,346,428.0,358,0.14929107589658047,xgb_weighted,operational
0.9200000000000003,0.9724770642201835,0.9662921348314607,0.864321608040201,0.9124668435013262,0.8829568788501027,0.983929648241206,0.9547583367421166,1988,12,54,344,444.0,356,0.14845704753961636,xgb_weighted,operational
0.9300000000000002,0.9712260216847373,0.9686609686609686,0.8542713567839196,0.9078771695594126,0.8749356664951107,0.983929648241206,0.9547583367421166,1989,11,58,340,475.0,351,0.146371976647206,xgb_weighted,operational
0.9400000000000002,0.9674728940783986,0.9678362573099415,0.8316582914572864,0.8945945945945946,0.8557394002068253,0.983929648241206,0.9547583367421166,1989,11,67,331,547.0,342,0.14261884904086738,xgb_weighted,operational
0.9500000000000002,0.96371976647206,0.9726443768996961,0.8040201005025126,0.8803301237964236,0.8328995314940135,0.983929648241206,0.9547583367421166,1991,9,78,320,633.0,329,0.1371976647206005,xgb_weighted,operational
